Exp	Action	Color	Shape	Size	ObjVel	ObjHandVel	HandVel	Contact
231	tap	yellow	circle	small	fast	medium	slow	short
232	tap	yellow	circle	small	fast	fast	slow	short
233	tap	yellow	circle	small	fast	medium	slow	short
234	tap	yellow	circle	small	fast	medium	slow	short
235	tap	yellow	circle	small	medium	medium	slow	short
236	tap	yellow	circle	small	medium	medium	slow	short
237	tap	yellow	circle	small	fast	fast	slow	short
238	tap	yellow	circle	small	medium	medium	slow	short
239	grasp	yellow	circle	medium	medium	slow	fast	long
240	grasp	yellow	box	medium	medium	slow	fast	long
241	grasp	yellow	circle	medium	medium	slow	fast	long
242	grasp	yellow	circle	medium	medium	slow	fast	long
243	grasp	green1	circle	medium	medium	slow	fast	long
244	grasp	yellow	circle	medium	medium	slow	fast	long
245	grasp	yellow	circle	medium	medium	slow	fast	long
246	grasp	yellow	circle	medium	medium	slow	fast	long
247	tap	green1	circle	medium	slow	slow	slow	short
248	tap	yellow	circle	medium	medium	slow	slow	short
249	tap	yellow	circle	medium	slow	slow	slow	short
250	tap	yellow	circle	medium	medium	slow	slow	short
251	tap	yellow	circle	medium	medium	slow	slow	short
252	tap	yellow	circle	medium	slow	slow	slow	short
253	tap	yellow	circle	medium	slow	slow	slow	short
254	tap	yellow	circle	medium	slow	slow	slow	short
